Rk,Year,Conf,W,L,T,Pct,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
2,2021,ACC,9,3,,0.75,6,2,0,0.75,10.22,0.39,,18,20,Dave Doeren (9-3),,
3,2020,ACC,8,4,0,0.667,7,3,0,0.7,0.35,-1.57,,23,,Dave Doeren (8-4),Gator Bowl-L,
4,2019,ACC,4,8,0,0.333,1,7,0,0.125,-7.82,-0.91,,,,Dave Doeren (4-8),,
5,2018,ACC,9,4,0,0.692,5,3,0,0.625,6.8,0.49,,16,,Dave Doeren (9-4),Gator Bowl-L,
6,2017,ACC,9,4,0,0.692,6,2,0,0.75,12.17,5.55,,14,23,Dave Doeren (9-4),Sun Bowl-W,
7,2016,ACC,7,6,0,0.538,3,5,0,0.375,7.49,3.49,,,,Dave Doeren (7-6),Independence Bowl-W,
8,2015,ACC,7,6,0,0.538,3,5,0,0.375,5.06,0.83,,,,Dave Doeren (7-6),Belk Bowl-L,
9,2014,ACC,8,5,0,0.615,3,5,0,0.375,4.17,1.25,,,,Dave Doeren (8-5),St. Petersburg Bowl-W,
10,2013,ACC,3,9,0,0.25,0,8,0,0,-5.66,1.59,,,,Dave Doeren (3-9),,
11,2012,ACC,7,6,0,0.538,4,4,0,0.5,1.46,-0.77,,,,Tom O'Brien (7-5) Dana Bible (0-1),Music City Bowl-L,
12,2011,ACC,8,5,0,0.615,4,4,0,0.5,2.57,-1.97,,,,Tom O'Brien (8-5),Belk Bowl-W,
13,2010,ACC,9,4,0,0.692,5,3,0,0.625,11,2.92,,21,25,Tom O'Brien (9-4),Champs Sports Bowl-W,
14,2009,ACC,5,7,0,0.417,2,6,0,0.25,-1.06,2.36,,,,Tom O'Brien (5-7),,
15,2008,ACC,6,7,0,0.462,4,4,0,0.5,1.41,3.57,,,,Tom O'Brien (6-7),PapaJohns.com Bowl-L,
16,2007,ACC,5,7,0,0.417,3,5,0,0.375,-3.13,2.96,,,,Tom O'Brien (5-7),,
17,2006,ACC,3,9,0,0.25,2,6,0,0.25,-4.11,0.64,,,,Chuck Amato (3-9),,
18,2005,ACC,7,5,0,0.583,3,5,0,0.375,5.73,3.73,,,,Chuck Amato (7-5),Meineke Car Care Bowl-W,
19,2004,ACC,5,6,0,0.455,3,5,0,0.375,6.04,4.31,,,,Chuck Amato (5-6),,
20,2003,ACC,8,5,0,0.615,4,4,0,0.5,10.41,4.48,16,14,,Chuck Amato (8-5),Tangerine Bowl-W,
21,2002,ACC,11,3,0,0.786,5,3,0,0.625,12.86,0.22,,10,12,Chuck Amato (11-3),Gator Bowl-W,
22,2001,ACC,7,5,0,0.583,4,4,0,0.5,6.38,1.05,,,,Chuck Amato (7-5),Tangerine Bowl-L,
23,2000,ACC,8,4,0,0.667,4,4,0,0.5,3.92,-0.33,,21,,Chuck Amato (8-4),Micron PC Bowl-W,
24,1999,ACC,6,6,0,0.5,3,5,0,0.375,-1.69,2.39,,20,,Mike O'Cain (6-6),,
25,1998,ACC,7,5,0,0.583,5,3,0,0.625,4.2,3.04,,20,,Mike O'Cain (7-5),Micron PC Bowl-L,
26,1997,ACC,6,5,0,0.545,3,5,0,0.375,7.03,3.22,,,,Mike O'Cain (6-5),,
27,1996,ACC,3,8,0,0.273,3,5,0,0.375,-4.25,4.38,,,,Mike O'Cain (3-8),,
28,1995,ACC,3,8,0,0.273,2,6,0,0.25,-5.37,0.63,,23,,Mike O'Cain (3-8),,
29,1994,ACC,9,3,0,0.75,6,2,0,0.75,4.97,0.88,,17,17,Mike O'Cain (9-3),Peach Bowl-W,
30,1993,ACC,7,5,0,0.583,4,4,0,0.5,1.6,1.69,25,17,,Mike O'Cain (7-5),Hall of Fame Bowl-L,
31,1992,ACC,9,3,1,0.731,6,2,0,0.75,10.56,2.33,,12,17,Dick Sheridan (9-3-1),Gator Bowl-L,
32,1991,ACC,9,3,0,0.75,5,2,0,0.714,5.77,-0.57,,11,24,Dick Sheridan (9-3),Peach Bowl-L,
33,1990,ACC,7,5,0,0.583,3,4,0,0.429,6.75,3.34,,,,Dick Sheridan (7-5),All-American Bowl-W,
34,1989,ACC,7,5,0,0.583,4,3,0,0.571,4.23,0.23,24,12,,Dick Sheridan (7-5),Copper Bowl-L,
